,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.98,0.98,1.03,1.04,1.04,76.7,0.69,0.69,0.15,1.11,69.3,2.3,41.1,2686.0,1254.0,-25.0,0.91,1.0,70.3,15.3,1840.0,1865.0,0.0
zehN,https://hltv.org/stats/players/1378/zehN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.93,0.96,1.04,1.02,0.99,76.3,0.67,0.68,0.16,1.07,70.7,7.1,45.0,1376.0,611.0,-10.0,0.91,0.95,77.0,13.1,920.0,930.0,0.0
Kairi,https://hltv.org/stats/players/329/Kairi?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.8,0.8,0.8,72.1,0.64,0.61,0.14,0.95,73.0,6.5,43.7,978.0,440.0,27.0,1.16,0.98,81.6,13.2,623.0,596.0,0.0
Leaf,https://hltv.org/stats/players/11248/Leaf?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.0,0.8,0.88,74.2,0.69,0.66,0.11,1.07,69.4,3.3,40.7,1416.0,672.0,48.0,1.33,1.07,65.4,14.0,976.0,928.0,0.0
k1Ng0r,https://hltv.org/stats/players/1007/k1Ng0r?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.92,0.85,0.85,76.7,0.7,0.68,0.13,1.01,70.8,3.1,42.3,1133.0,550.0,19.0,1.03,0.97,73.8,12.9,794.0,775.0,0.0
zewsy,https://hltv.org/stats/players/8764/zewsy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.0,0.0,0.0,0.0,0.81,75.7,0.69,0.67,0.15,1.0,71.7,2.5,38.6,1012.0,476.0,15.0,0.84,0.91,78.3,12.3,697.0,682.0,0.0
JW,https://hltv.org/stats/players/3849/JW?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.97,0.96,1.03,1.04,1.05,76.0,0.71,0.69,0.13,1.19,66.0,4.7,37.1,2427.0,1142.0,37.0,0.99,1.09,75.6,19.0,1716.0,1679.0,0.0
malta,https://hltv.org/stats/players/11485/malta?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.51,0.88,0.78,0.73,0.93,76.1,0.69,0.68,0.13,1.06,69.2,2.8,37.6,1320.0,604.0,9.0,1.06,1.0,76.9,14.0,910.0,901.0,0.0
hutji,https://hltv.org/stats/players/8790/hutji?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.0,0.9,0.84,0.88,0.96,73.9,0.69,0.67,0.13,1.02,70.1,3.6,47.4,1572.0,745.0,25.0,0.99,0.97,83.1,14.4,1085.0,1060.0,0.0
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.94,0.96,1.0,1.02,1.03,80.5,0.67,0.69,0.17,1.02,69.1,8.4,44.1,2427.0,1121.0,-27.0,0.91,0.92,71.1,11.5,1636.0,1663.0,0.0
shox,https://hltv.org/stats/players/1225/shox?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,1.03,1.06,1.05,1.05,1.05,71.7,0.67,0.65,0.11,1.03,70.8,2.4,48.2,2599.0,1220.0,34.0,1.13,1.08,75.0,16.7,1735.0,1701.0,0.0
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,1.06,1.0,1.03,1.03,1.04,76.1,0.66,0.68,0.17,1.06,69.2,3.5,46.2,2393.0,1083.0,-53.0,0.9,0.99,79.0,15.3,1575.0,1628.0,0.0
